source,event,date,replicate,window_idx,t_start_s,t_end_s,dop_mean,dop_std,dop_min,dop_max,step_mean,step_std,step_max,step_rms,step_p95,cum_arc,theta_mean,theta_std,theta_max,theta_rms,psd_peak_freq,psd_peak_power,bp_low,bp_mid,bp_high,s1_std,s2_std,s3_std,s1_range,s2_range,s3_range
10GE,FS,300326,1,0,0.0001,6.0001,1.0,8.261834969358482e-17,0.9999999999999998,1.0000000000000002,0.042184065325019414,0.022762970768740454,0.22871571160916027,0.04793378981015415,0.08491453483513357,278.83667179837835,26.61210659341049,8.337267617231703,35.55437820067873,27.887528550597352,5.01444159178522,1.7346867773878796e-05,4.9504612733513646e-05,2.336739907260995e-07,8.024368491149506e-08,0.19983586259935135,0.39937171998886467,0.08895644575727267,0.5126349864532354,0.999561967682165,0.26084522760289985
10GE,FS,300326,1,1,3.0001,9.0001,1.0,8.152620073463172e-17,0.9999999999999998,1.0000000000000002,0.041610678361258806,0.02256266540670298,0.20057939063773603,0.04733415705322071,0.08334663418959813,287.40495544121455,26.52353833388619,8.683735842501404,35.55437820067873,27.90887589874364,5.146574440053012,2.0274597291375928e-05,5.945249938840485e-05,2.7304332082240063e-07,7.295382869917487e-08,0.16977000946813572,0.3218482134375518,0.06276229670952535,0.5305265233597921,0.9796468167570425,0.253880577981909
10GE,FS,300326,1,2,6.0001,12.0001,1.0,8.323765121616931e-17,0.9999999999999998,1.0000000000000002,0.0436742309516729,0.023509751113771016,0.20057939063773603,0.049599867405584065,0.0860078477422875,326.59589905660994,27.457304666245147,8.358157526460548,35.339146267971365,28.701260891677503,5.417822468790218,1.331672575576108e-05,4.007874451105828e-05,2.1068822081100373e-07,9.042421102320721e-08,0.20600296475525956,0.3580914665655735,0.09612873252756894,0.5305265233597921,0.9833217373308705,0.25758915274791516
10GE,FS,300326,1,3,9.0001,15.0001,1.0,8.300235781263269e-17,0.9999999999999997,1.0000000000000002,0.043825880596411626,0.024282974297308725,0.3083762682977916,0.0501035991798462,0.0866913935134,327.1601986522128,27.598097464560762,7.956127453423024,35.34762592822964,28.722028962427196,5.486306179774927,1.2018615888243677e-05,3.668792803946793e-05,1.7423016079904778e-07,9.729764460800126e-08,0.20725865688768752,0.35779234776253804,0.09860990837853217,0.5190382423116278,0.9892638494291602,0.2594846859788309
10GE,FS,300326,1,4,12.0001,18.0001,1.0,8.06349489934078e-17,0.9999999999999997,1.0000000000000002,0.04087920969062344,0.023177491254004458,0.3083762682977916,0.04699261522579281,0.08111638594389482,294.9843771275387,26.62909354484564,8.220117452379771,35.34762592822964,27.86896040312696,5.494022503523762,1.6593784446903155e-05,5.083699391834793e-05,2.3516504505429612e-07,7.783432541120451e-08,0.15469161738494136,0.32084517359539666,0.06369707473383679,0.5150342116897699,0.9892638494291602,0.2594846859788309
10GE,FS,300326,1,5,15.0001,21.0001,1.0,8.25057839650869e-17,0.9999999999999997,1.0000000000000002,0.041430009374061785,0.02358658054348204,0.27606833296231903,0.047673603371981566,0.08146509977562226,295.23024679956427,26.749464736836735,8.404880112745438,35.15449635067743,28.038827960827746,5.54078014184432,1.721316019018294e-05,5.349128931329352e-05,2.756708657788225e-07,8.891831220631001e-08,0.21029444435289774,0.4011734053123937,0.0891525476806935,0.5259135845879092,0.979647570794645,0.25462991120733003
10GE,FS,300326,1,6,18.0001,24.0001,1.0,8.430460232928328e-17,0.9999999999999997,1.0000000000000002,0.04522395458090009,0.026431905498450776,0.27606833296231903,0.05238178782949611,0.09078869345470204,305.4425892393992,24.917857195794447,9.67973207957247,31.647085262102745,26.731943819376653,5.4786115006930105,2.1902942061372794e-05,6.771008641672904e-05,3.1053247575989384e-07,1.2220923353814275e-07,0.1234680624974989,0.179615509621781,0.09731606343992409,0.43843800376444786,0.6629011302349551,0.2557220209813874
10GE,FS,300326,1,7,21.0001,27.0001,1.0,8.201397280583816e-17,0.9999999999999997,1.0000000000000002,0.04150605628826194,0.0238350675663812,0.21890989743310285,0.04786296224115601,0.08392715575162267,290.127333454951,26.7839789987017,8.039506499602455,35.16353875090302,27.96453460653411,5.440459610021152,1.4229037219841306e-05,4.340258389666644e-05,2.0037957091180998e-07,8.912615007043202e-08,0.21156175713120848,0.40475017291413534,0.09333884275550207,0.5166367535049127,0.9838835384479678,0.2584942258408095
10GE,FS,300326,1,8,24.0001,30.0001,1.0,8.145094917645891e-17,0.9999999999999997,1.0000000000000002,0.040840596931898815,0.0223058903974663,0.20567324637934414,0.046535009446411445,0.08124298045734271,291.03009373671097,24.92945991030033,9.254683561349301,35.16353875090302,26.591862274763315,5.373108665753514,2.0415887426279458e-05,6.158258363139235e-05,3.372745305972591e-07,6.839999224962295e-08,0.12048641634749549,0.24524665292606343,0.04628632592302427,0.5143306779406355,0.9336477759267763,0.2280647244101056
10GE,FS,300326,1,9,27.0001,33.0001,1.0,8.415544251740497e-17,0.9999999999999998,1.0000000000000002,0.042962074395093974,0.02332653788670836,0.20567324637934414,0.048886268073045115,0.08536646387979058,265.54858183607587,26.481826157388518,8.897927595795549,35.02788315096266,27.93671834933672,4.57942555684269,2.238360913828984e-05,5.832011971356367e-05,1.9678500315519884e-07,1.0175626797770442e-07,0.21672792509322628,0.3886662412717281,0.09712920772206625,0.5258395772306258,0.9737892994989128,0.2541464453407578
10GE,FS,300326,1,10,30.0001,36.0001,1.0,8.398178371589712e-17,0.9999999999999998,1.0000000000000002,0.04380971449857052,0.025369840578337105,0.3903726602618451,0.050625289089707926,0.0875603656035147,258.7401738285575,26.674836447922463,8.014676423728755,33.503833593965794,27.852862289188277,4.459189497726564,2.285618103372651e-05,5.8372477071981945e-05,1.8913422465022712e-07,1.223610049548878e-07,0.19871714932727882,0.312155287720086,0.10263715621738029,0.5247981017725767,0.9359438273031306,0.25806915864757096
10GE,FS,300326,1,11,33.0001,39.0001,1.0,8.12995859095776e-17,0.9999999999999998,1.0000000000000002,0.04081847234904196,0.024853800464003623,0.43049681512076715,0.04778973825429482,0.08244558397082913,268.0549079161585,27.288468352029565,8.113978632107266,35.12627630200811,28.469231711481296,4.810652709339666,2.2728600717157143e-05,6.412004567308816e-05,2.522405662853328e-07,9.007355515785568e-08,0.17551615086618774,0.3496380907428585,0.07117010602563496,0.5164401520688555,0.9803606403282256,0.25806915864757096
10GE,FS,300326,1,12,36.0001,42.0001,1.0,8.317866047973193e-17,0.9999999999999997,1.0000000000000002,0.04055876870501943,0.022657762079062175,0.43049681512076715,0.04645845349663128,0.08089820519417518,306.908202790882,26.494116701328,8.614693571052081,35.12627630200811,27.859489677786875,5.532932011323736,1.3581813034176775e-05,4.273287653855153e-05,2.456598203868249e-07,7.781011926428361e-08,0.2057974588021589,0.38653352394036006,0.08294819423298275,0.5250535745567747,0.9720901192108726,0.2525245665709912
10GE,FS,300326,1,13,39.0001,45.0001,1.0,8.520228112196975e-17,0.9999999999999997,1.0000000000000002,0.0434845198188304,0.023305591166443557,0.15169913620058426,0.04933613324422238,0.08648183147951188,359.00819562426375,26.12180697871836,8.169902564151073,31.478720983634883,27.369620160702656,5.769940915838757,1.3183085234400872e-05,4.3430181115687046e-05,1.2890328510925267e-07,9.493249316139692e-08,0.1547410265421271,0.2403837932296326,0.09517225542104299,0.5169413449236113,0.8372176296718874,0.2539056868167163
10GE,FS,300326,1,14,42.0001,48.0001,1.0,8.42337989213863e-17,0.9999999999999998,1.0000000000000002,0.04193479622768991,0.022698800559574156,0.15003547175019866,0.047683987684559274,0.08373325389319866,351.16198361067535,27.047940643259654,8.055372959726695,35.08528295002463,28.221979494032546,5.804234769696283,9.29214856749506e-06,3.0438543138287383e-05,1.1859426845076737e-07,8.090599522072679e-08,0.21786287439776628,0.4018110932208329,0.09711475699429879,0.5206722103125693,0.9784400103237431,0.25759807740921303
10GE,FS,300326,1,15,45.0001,51.0001,1.0,8.166044645578098e-17,0.9999999999999998,1.0000000000000002,0.04013365449060713,0.02139977542211312,0.21661978742157662,0.04548253083204921,0.07971029112597794,334.67454479717287,24.087284155253787,10.260260318302219,35.7767107470893,26.181485820618875,5.7784763313731995,1.1405104229864696e-05,3.7093265365039105e-05,1.4420102279665363e-07,5.996032094029469e-08,0.08916082609120082,0.21940188517875947,0.04298820691812347,0.3664270476699773,0.7740477505255466,0.13460141711714457
10GE,FS,300326,1,16,48.0001,54.0001,1.0,8.263102144195956e-17,0.9999999999999997,1.0000000000000002,0.041436053405305776,0.022166499117981436,0.21661978742157662,0.046992554782165484,0.0820313997936088,345.6181214536555,26.16093760982014,8.27849497058068,35.7767107470893,27.43953599467075,5.769940915838757,1.106789300722261e-05,3.681088846469774e-05,1.3306568169409317e-07,7.731712323703103e-08,0.2139466565734323,0.3940384297642957,0.08807693801765826,0.5158380567686275,0.9703138772683788,0.2364298581890325
10GE,FS,300326,1,17,51.0001,57.0001,1.0,8.496188208332421e-17,0.9999999999999997,1.0000000000000002,0.04321244370506216,0.023378292621367903,0.20396222339975476,0.049131047789086196,0.08651162280560083,354.9470125933806,25.33036063925748,7.427559628236241,30.04522503722036,26.396890198389837,5.744485294155045,1.3117315557160775e-05,4.2037695536252593e-05,2.2831006379021e-07,9.429303934457268e-08,0.16178580843376478,0.23900609109947016,0.08978119345361689,0.5164183974721964,0.8464488719133711,0.24093366984476539
10GE,FS,300326,1,18,54.0001,60.0001,1.0,8.20929844364995e-17,0.9999999999999998,1.0000000000000002,0.03983987267793013,0.022019195978447714,0.20396222339975476,0.045519890669145635,0.08089612638220593,317.80266435184865,27.24280454094046,8.337802097271295,36.03209417846907,28.49016221556395,5.669448476041784,1.2170570006495426e-05,3.886718099459997e-05,1.8625480680658067e-07,7.056321659718279e-08,0.1919444243416101,0.3907194581144143,0.07570752885989011,0.5102565995701044,0.9797988882905633,0.24093366984476539
10GE,FS,300326,1,19,57.0001,63.0001,1.0,8.142655847971976e-17,0.9999999999999997,1.0000000000000002,0.03981073777080162,0.021974551347748523,0.21284944476869833,0.04547280229753129,0.07959133489852785,312.3550485497095,26.910776874103956,9.013416506873902,36.03209417846907,28.380126657472747,5.653039073778853,1.5104152838653422e-05,5.059286223371813e-05,2.5757934176774325e-07,6.760660591658816e-08,0.18199713992169564,0.3570166694536374,0.06737237864466672,0.518395265655822,0.9704919998581473,0.23471052296067774
10GE,FS,300326,1,20,60.0001,66.0001,1.0,8.437396309406942e-17,0.9999999999999997,1.0000000000000002,0.042979767544701335,0.0233584288262084,0.21284944476869833,0.048917038089254815,0.08581214338815751,314.439979357035,25.301621325685243,8.178081317701533,34.163423860997675,26.590469265270766,5.5095204513359155,1.5070270392860003e-05,5.002030168527151e-05,2.703173842241001e-07,9.400273450784358e-08,0.18455610188085864,0.3013159959526498,0.09211295856672734,0.5151620062472434,0.9279387588957995,0.2364315191356573
10GE,FS,300326,1,21,63.0001,69.0001,1.0,8.264022122534516e-17,0.9999999999999998,1.0000000000000002,0.041983096766543535,0.022687383519915255,0.1423331241881916,0.0477210413244376,0.0838557886929843,300.850871429051,26.473682743525845,8.183230197813533,35.98887863675078,27.709585606343257,5.336407103830322,1.3105560063142421e-05,3.929104981401339e-05,1.8720006897643938e-07,8.59116905733057e-08,0.21216314178971646,0.39387461141387714,0.0892329860862516,0.5144897135237039,0.9781897739686201,0.24079788794415669
10GE,FS,300326,1,22,66.0001,72.0001,1.0,8.099694952346411e-17,0.9999999999999998,1.0000000000000002,0.04066633116003079,0.021891481234291365,0.21549902870517584,0.04618427698523191,0.08018224489702443,298.16554006534574,24.9283171673914,9.834079212511233,35.98887863675078,26.797949749113386,5.3805096418716,1.767346511242856e-05,5.316647949791101e-05,2.3601530749001167e-07,6.663840274905661e-08,0.10137640431354229,0.24290871371116848,0.04650209675523861,0.45431084831565804,0.9107933341310737,0.1734932097196713
10GE,FS,300326,1,23,69.0001,75.0001,1.0,8.323970698575147e-17,0.9999999999999998,1.0000000000000002,0.0416461807940819,0.02231797529455516,0.21549902870517584,0.0472493004814011,0.08166513251581926,306.59918300603096,26.038308288705082,8.342028454682215,35.769571297000965,27.341962937513742,5.470938375334035,1.4974353620395396e-05,4.652820009551416e-05,1.904507801901127e-07,8.540947798969458e-08,0.21117891465231914,0.39750323163486323,0.0855958420133287,0.515190207073668,0.9689026246582759,0.236416936863156
10GE,FS,300326,1,24,72.0001,78.0001,1.0,8.452671794386333e-17,0.9999999999999998,1.0000000000000002,0.0440936208582967,0.023278797041951495,0.18100088825518895,0.04986130555967811,0.08638482395575067,342.34287234381554,24.00382510707817,8.54524728836,30.0183839728223,25.479499033348755,5.588340486316804,1.4284944003026714e-05,4.44437190132434e-05,1.6007687808746604e-07,9.746522148426691e-08,0.13694820195287796,0.192262969648413,0.09070312891458657,0.4834896587900153,0.7287523606844659,0.2412369051332759
10GE,FS,300326,1,25,75.0001,81.0001,1.0,8.215065387834213e-17,0.9999999999999998,1.0000000000000002,0.041558718095133534,0.022229432160873804,0.18100088825518895,0.04713040105818822,0.08199910880009709,316.09560983158565,26.6014616483944,8.196370255003293,35.96510067363931,27.835557245869914,5.501760563395857,1.2501163139317606e-05,3.8930301276931633e-05,1.3847408882299368e-07,7.401945228086905e-08,0.2003673480957927,0.4001761565423755,0.08079656341223256,0.5126369274088587,0.9781285811583196,0.2412369051332759
10GE,FS,300326,1,26,78.0001,84.0001,1.0,8.039670813320224e-17,0.9999999999999998,1.0000000000000002,0.04156368056303697,0.02422503765126228,0.5998277286773163,0.048108128119385946,0.08244897955604615,285.3762307458118,26.885839598436256,8.651037114656948,35.96510067363931,28.24338531536216,5.2292503346436705,2.2873156004063064e-05,6.975137265626388e-05,6.025204637808198e-07,7.479542494228876e-08,0.16680611887771463,0.3222583032420675,0.059894515047995894,0.5200088761118994,0.9659010063563875,0.2333197697342645
10GE,FS,300326,1,27,81.0001,87.0001,1.0,8.414740812870222e-17,0.9999999999999997,1.0000000000000002,0.043771033512865945,0.0249742420769107,0.5998277286773163,0.050394604295505394,0.08624066650982751,288.58242395032516,25.916298246176147,7.9886104421823045,35.74939509676783,27.119594605777152,5.1263123359943314,2.101599992548964e-05,6.547774507729352e-05,6.863416130993695e-07,1.0873858824283783e-07,0.19658085606266681,0.3329111862003275,0.08903339977714667,0.514181116391156,0.9677162383417819,0.23535551043673597
10GE,FS,300326,1,28,84.0001,90.0001,1.0,8.436199199390832e-17,0.9999999999999997,1.0000000000000002,0.042865544094234216,0.02329420399119252,0.23726460337001387,0.04878601039312425,0.0858694592920726,303.74524545174364,26.75927689430059,8.001258771068047,35.937485087122255,27.92989512739786,5.3218664849523565,1.4757964918408316e-05,4.4000601709113835e-05,2.504615135539963e-07,8.93613249987871e-08,0.21698468307786148,0.38816145105616956,0.09013928185011115,0.5174936262782347,0.975118909121385,0.23997253380614747
10GE,FS,300326,1,29,87.0001,93.0001,1.0,8.07830095048306e-17,0.9999999999999998,1.0000000000000002,0.04053373258198093,0.02242374729818257,0.23726460337001387,0.04632286605900258,0.08137724042798937,300.7602957582985,26.377162001504136,8.528931417922918,35.937485087122255,27.72178468975665,5.410318559585901,1.8884552433189608e-05,5.720788420694327e-05,2.9169551832994437e-07,6.255171220364971e-08,0.12657792001744586,0.273783134642096,0.054771951288781706,0.5111413185226216,0.975118909121385,0.23997253380614747
10GE,FS,300326,1,30,90.0001,96.0001,1.0,8.067173379558443e-17,0.9999999999999998,1.0000000000000002,0.04061361539927412,0.021693239881762937,0.18748720032992722,0.046044135482902336,0.08099120000131504,276.41626640745966,25.12065149687681,8.747380888094597,35.685504110210104,26.600071504207307,5.208333333259121,1.6363168266619062e-05,4.771266007048684e-05,1.8951741622002445e-07,7.369772337018315e-08,0.1950137137733281,0.3778839184705451,0.07866499936587248,0.5141264771855826,0.9642028309256787,0.23425557666521135
10GE,FS,300326,1,31,93.0001,99.0001,1.0,8.221709006967127e-17,0.9999999999999998,1.0000000000000002,0.04505340294750247,0.02442989861335409,0.18748720032992722,0.05125064939499583,0.09084409301014423,278.7003506332503,22.639759595124247,9.56756122542751,29.871881937611356,24.57838363943659,4.66696535242583,2.8034577591645346e-05,7.601597003562921e-05,2.1496518770473042e-07,1.1033341664244176e-07,0.12385863567881011,0.17701865797691732,0.09344824882447396,0.40973196586889654,0.5784997571397875,0.239899454098085
10GE,FS,310326,1,0,0.0001,6.0001,1.0,8.104020455077637e-17,0.9999999999999997,1.0000000000000002,0.04021418552685215,0.02183524927715801,0.2032351607972271,0.04575979489228196,0.08000419576531097,297.7056154552865,24.928120582737552,9.90877245690922,35.956478231464885,26.82526733119926,5.307404891303843,1.595909764461911e-05,4.732236611883206e-05,1.891487308104837e-07,6.34769044013139e-08,0.0997192046542559,0.22766474971089354,0.046670706658135594,0.46286779637808023,0.8609791551835644,0.1521884819549023
10GE,FS,310326,1,1,3.0001,9.0001,1.0,8.382533155800877e-17,0.9999999999999998,1.0000000000000002,0.0418024971193046,0.022520883018803697,0.1656973621264089,0.04748303841748241,0.08371978693277142,317.0301381528061,26.57799371781691,8.32341431438781,35.61189991622906,27.8508343845076,5.236260053616793,1.4272866223704626e-05,4.188846440385911e-05,1.669779967807724e-07,8.333385755169646e-08,0.2129142073529431,0.39592464239795727,0.08896752711904413,0.5162053702082113,0.9753186597948593,0.23875792790408268
