Time_s,S0,S1,S2,S3
0.000102,0.045654,-0.097290,-0.597290,-0.800934
0.005999,0.048767,-0.208649,-0.624084,-0.753784
0.007756,0.038177,-0.031250,-0.615387,-0.793274
0.009317,0.040039,-0.149109,-0.628448,-0.766083
0.012069,0.041260,-0.112030,-0.674011,-0.732025
0.016503,0.035797,-0.427979,-0.610199,-0.671631
0.018505,0.033844,-0.375702,-0.627045,-0.686493
0.020631,0.037933,-0.152924,-0.691772,-0.711182
0.021877,0.038422,-0.222504,-0.704132,-0.678925
0.023110,0.039581,-0.128510,-0.735992,-0.670563
0.024256,0.043793,-0.245819,-0.735321,-0.636566
0.026058,0.045227,-0.174103,-0.783417,-0.599213
0.027290,0.041779,-0.196045,-0.766541,-0.614563
0.029325,0.044556,-0.338989,-0.733063,-0.593231
0.030915,0.042542,-0.221985,-0.752167,-0.627167
0.032273,0.036072,-0.449249,-0.621857,-0.642151
0.034102,0.041473,-0.180634,-0.746704,-0.640991
0.035547,0.040649,-0.387909,-0.596436,-0.704041
0.036910,0.033813,-0.277191,-0.690247,-0.668488
0.038172,0.041718,-0.177643,-0.752197,-0.638184
0.039546,0.044983,-0.127380,-0.785400,-0.610870
0.040836,0.036804,-0.212524,-0.692505,-0.692505
0.042021,0.040192,-0.187225,-0.666687,-0.721466
0.043173,0.045074,-0.204102,-0.675537,-0.710205
0.044129,0.039856,-0.170013,-0.718018,-0.676025
0.045534,0.040436,-0.350708,-0.705902,-0.622192
0.046631,0.040009,-0.159790,-0.680481,-0.721924
0.047798,0.037567,-0.323547,-0.585785,-0.747559
0.048699,0.029358,-0.239136,-0.652191,-0.720520
0.049536,0.036896,-0.159210,-0.788574,-0.594543
0.050420,0.039185,-0.366211,-0.647888,-0.673737
0.051221,0.042938,-0.199158,-0.769073,-0.612305
0.052072,0.036316,-0.066010,-0.662445,-0.751282
0.052912,0.033722,-0.303253,-0.638916,-0.708344
0.053815,0.040192,-0.229370,-0.690369,-0.692688
0.054698,0.047668,-0.117310,-0.680786,-0.725006
0.055599,0.047211,-0.265625,-0.599609,-0.755859
0.056432,0.043182,-0.238525,-0.611328,-0.757965
0.057455,0.047424,-0.191132,-0.606201,-0.772217
0.058466,0.045990,-0.099609,-0.621521,-0.780884
0.059500,0.047333,-0.180237,-0.670563,-0.724823
0.060246,0.044617,-0.094269,-0.547150,-0.834045
0.061012,0.045349,0.006042,-0.720673,-0.696381
0.061932,0.038330,0.035858,-0.629211,-0.777527
0.062774,0.045105,-0.179138,-0.649628,-0.742126
0.063582,0.047699,-0.251953,-0.565399,-0.788483
0.064313,0.044434,-0.175629,-0.617798,-0.770691
0.065023,0.040375,-0.142548,-0.635773,-0.760193
0.065742,0.044739,-0.155762,-0.616821,-0.774597
0.066571,0.046295,-0.157166,-0.555115,-0.820435
0.067414,0.048218,-0.174255,-0.668579,-0.725403
0.068201,0.039185,-0.059174,-0.688934,-0.725220
